log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,network (in us),commit_phase (in us),time_send_msg,average_distributed_latency,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,int_aborts_ws1,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,average_local_latency,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,prepare_phase_2 (in us),num_pre_aborts
0,5539,0.00778003,310.621,0.00385935,0,0.0124429,0,0,2649.04,4,0.00564521,0,28,0,5539,0,5508.03,0.0189081,0.337627,4,0,0,0.08,0,2745.23,896.271,0.129935,0.0044716,70.8538,WAIT_DIE,0.00150173,0,0,0,1.333,0,0.0155313,0.00761003,0,0,0,0,0,false,0,0,0,0,0,0,28.1574,99.7816,0.130778,0,0,0.00617707,0.0236354,0,0,0.0577671,0.745835,0.00219709,0,0,1412,22.9694,0,4111,0,0,0,0,4,14958,0,1491,0,0.779989,0,0,0,1115.19,TWO_PC,0,2119.48,0,0,0,0,0,0,0.827065,0.5,0.0159035,0,4,0,0,2636,5539,3.21672,0,0,4,0.826178,0.19585,0
0,4920,0.0104246,427.763,0.00426925,0,0.013694,0,0,2738.02,2,0.00582262,0,28,0,4920,0,4884.86,0.0196962,0.332348,2,0,0,0.1,0,3295.71,1102.86,0.143965,0.00469222,160.914,WAIT_DIE,0.00128347,0,0,0,1.3127,0,0.0161767,0.00794283,0,0,0,0,0,false,0,0,0,0,0,0,28.2014,166.635,0.116306,0,0,0.00668933,0.0432371,0,2,0.0537371,0.738275,0.00231664,0,0,1254,22.5803,0,4028,0,0,0,0,2,14515,0,876,0,1.08176,0,0,0,1100.22,TWO_PC,0,2146.88,0,0,0,0,0,0,0.822853,0.5,0.0157578,0,0,0,0,2790,4920,0.380952,0,0,2,0.815296,0.225996,0
0,9614,0.00430719,160.289,0.00290223,0,0.0003846,0,0,2741.48,6,0.00396767,0,28,0,9614,0,9575.38,0.00562403,0.360977,6,0,0,0,0,0,0.142018,0.0630962,-nan,45.9505,WAIT_DIE,0.00224523,0,0,0,1.64402,0,0.00490779,0.00272202,0,0,0,0,0,false,0,0,0,0,0,0,28.1129,159.029,0.0286971,0,0,0.0040086,0.00604824,0,1,0.0791983,0.739452,0.00290223,0,0,0,22.1421,0,0,0,0,0,1,6,9614,0,9614,0,1.76206,0,0,0,2732.36,ONE_PC,0,2732.42,0,0,0.217908,1,0,0,0.800167,0.5,0.00652162,0,5,0,0,0,9614,0.297828,0,0,6,0.909684,0.0260372,0
0,8789,0.00752371,195.478,0.00289606,0,0.00289259,0,0,2699.46,15,0.00397281,0,28,0,8789,0,8650.51,0.0108988,0.352788,15,0,0,0.01,0,607.126,0.282598,0.0921838,0.00421939,40.6009,WAIT_DIE,0.00547323,0,0,0,1.4752,0,0.00857559,0.00435475,0,0,0,0,0,false,0,0,0,0,0,0,28.4483,129.029,0.0706358,0,0,0.00414379,0.0198415,0,11,0.0751791,0.811641,0.00267193,0,0,608,22.3044,0,1299,0,0,0,0,15,11385,0,7516,0,1.42344,0,0,0,2147.67,ONE_PC,0,2612.75,0,0,0,0,0,0,0.84026,0.5,0.00877151,0,4,0,0,665,8789,0.773729,0,0,15,0.885266,0.0679027,0
0,8807,0.00494696,190.831,0.0027102,0,0.00542971,0,0,2518.19,2,0.0038558,0,28,0,8807,0,8764.21,0.0137795,0.267427,2,0,0,0.02,0,1013.7,0.434527,0.0900153,0.00368572,31.2588,WAIT_DIE,0.00127035,0,0,0,1.4885,0,0.010865,0.0040344,0,0,0,0,0,false,0,0,0,0,0,0,28.1367,99.0852,0.0979292,0,0,0.00408322,0.0175273,0,1,0.0774251,0.762556,0.00234458,0,0,1115,22.6856,0,2423,0,0,0,2,2,13597,0,6406,0,1.10864,0,0,0,1704.98,ONE_PC,0,2358.24,0,0,1.04114,2,0,0,0.804697,0.5,0.0114225,0,1,0,0,1286,8807,0.644777,0,0,2,0.877022,0.0983723,0
0,7879,0.00592992,307.203,0.00286456,0,0.00941448,0,0,2555.24,2,0.00384896,0,28,0,7879,0,7840.96,0.0202482,0.335682,2,0,0,0.04,0,1679.71,0.767416,0.131094,0.00347612,38.9851,WAIT_DIE,0.000507382,0,0,0,1.40965,0,0.0158978,0.00791256,0,0,0,0,0,false,0,0,0,0,0,0,28.1359,127.854,0.120929,0,0,0.0040185,0.0111746,0,0,0.0740904,0.763187,0.00228431,0,0,1655,22.5263,0,3799,0,0,0,0,2,15056,0,4043,0,1.27829,0,0,0,1357.96,ONE_PC,0,2292.88,0,0,0,0,0,0,0.81625,0.5,0.0147991,0,2,0,0,2181,7879,1.22093,0,0,2,0.822183,0.127708,0
0,6883,0.0177662,450.188,0.00314545,0,0.0117001,0,0,2694.01,1,0.00381512,0,28,0,6883,0,6753.54,0.0214733,0.339828,1,0,0,0.06,0,2449.76,1.05468,0.131919,0.00375346,41.5448,WAIT_DIE,0.000267462,0,0,0,1.58864,0,0.0170646,0.00831127,0,0,0,0,0,false,0,0,0,0,0,0,28.5367,135.46,0.139499,0,0,0.00467147,0.0625978,0,1,0.067943,0.819433,0.00214139,0,0,1692,22.6077,0,4235,0,0,0,0,1,14988,0,2596,0,1.20376,0,0,0,1111.79,ONE_PC,0,2087.01,0,0,0,0,0,0,0.88001,0.5,0.0160769,0,0,0,0,2595,6883,0.0486576,0,0,1,0.835623,0.148468,0
0,6666,0.00591737,419.354,0.00311371,0,0.0150658,0,0,2689.78,6,0.00373036,0,28,0,6666,0,6646.98,0.0234139,0.258582,6,0,0,0.08,0,2811.56,1.28057,0.13256,0.00342145,68.4805,WAIT_DIE,0.00269144,0,0,0,1.38349,0,0.0192817,0.00629429,0,0,0,0,0,false,0,0,0,0,0,0,28.0801,108.727,0.146779,0,0,0.00435706,0.0471949,0,2,0.0695548,0.774198,0.00225918,0,0,1711,22.7951,0,4956,0,0,0,2,6,16267,0,1765,0,1.00277,0,0,0,990.538,ONE_PC,0,2048.74,0,0,0.493076,2,0,0,0.802709,0.5,0.0190777,0,4,0,0,3190,6666,3.14957,0,0,6,0.821544,0.148354,0
0,6175,0.00733761,455.369,0.00324555,0,0.0170158,0,0,2788.6,0,0.0038776,0,28,0,6175,0,5922.6,0.0210766,0.341984,0,0,0,0.1,0,3268.78,1.44101,0.155077,0.0034801,28.3415,WAIT_DIE,0,0,0,0,1.47517,0,0.017138,0.00859646,0,0,0,0,0,false,0,0,0,0,0,0,29.1932,79.3823,0.145062,0,0,0.00447484,0.0335136,0,0,0.0672185,0.912231,0.00221959,0,0,1559,22.9293,0,4983,0,0,0,0,0,16271,0,1149,0,0.737862,0,0,0,1003.42,ONE_PC,0,2161.64,0,0,0,0,0,0,0.98519,0.5,0.0167472,0,0,0,0,3467,6175,0,0,0,0,0.837711,0.145188,0
0,8235,0.0279038,172.894,0.00339813,0,0.00032944,0,0,3217.43,13,0.00391984,0,28,0,8235,0,8084.99,0.0056427,0.393582,13,0,0,0,0,0,6.8986,0.0560183,-nan,141.986,WAIT_DIE,0.00565391,0,0,0,1.38824,0,0.00460224,0.00225608,0,0,0,0,0,false,0,0,0,0,0,0,28.5195,171.922,0.0398573,0,0,0.00397191,0.059837,0,4,0.0677784,0.830796,0.00339813,0,0,0,22.1294,0,0,0,0,0,0,13,8235,0,8235,0,1.61138,0,0,0,3208.25,TWO_PC,0,3208.34,0,0,0,0,0,0,0.856108,0.5,0.00599245,0,9,0,0,0,8235,0.830971,0,0,13,0.826164,0.0739972,0
