LOG_NODE,COMMIT_ALG,READ_PERC,PERC_REMOTE,ZIPF_THETA,NUM_SERVER_THREADS,CC_ALG,prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,bytes_received,int_aborts_maat_resolve_failure,cache,num_aborts_restart,90%_latency,num_cache_misses,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,num_cache_evictions,network (in us),commit_phase (in us),time_send_msg,CC (index) (in us),time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,num_pre_aborts
false,ONE_PC,0.5,0.05,0,16,WAIT_DIE,37704.7,0,208,0.141985,263.622,0.0534053,0.000527892,0,0,0,0.0835686,0,0,311,0,289.439,0.00151031,0,0,0,0,0,31201.5,1.1889,0.00468846,28.34,0,0,0,0,2.27817,0,0.0013993,0.000200277,0,0,0.165571,0,0,0,0,0,0,0,0,17.1919,83.623,0.00414241,0,0.100242,0.142128,0,0,0.00304967,0.160373,0,0,0,50,15.7024,0,180,0,0,0,0,0,0,0,132,0,0.0365385,0,0,0,37723.6,0,32004.2,0,0,0,0,0,0,0.244985,0.000604925,0,0,0,0,129,311,0,0,0,0,1.05848,0
false,ONE_PC,0.5,0.05,0,32,WAIT_DIE,44361.5,0,170,0.166781,303.383,0.0595535,0.00087732,0,0,0,0.106499,0,0,561,0,523.014,0.0017221,0,0,0,0,0,33687.4,1.55049,0.00951138,48.5853,0,0,0,0,2.17322,0,0.00157074,0.000597029,0,0,0.22378,0,0,0,0,0,0,0,0,34.3241,155.734,0.00756311,0,0.132391,0.197976,0,0,0.00542604,0.307837,0,0,0,103,31.3621,0,309,0,0,0,0,0,0,0,247,0,0.112575,0,0,0,40782.5,0,35731.2,0,0,0,0,0,0,0.479818,0.00226036,0,0,0,0,211,561,0,0,0,0,1.05312,0
false,TWO_PC,0.5,0.05,0,2,WAIT_DIE,30424.4,0,0,0.122534,283.316,0.0689383,3.8712e-05,0,0,0,0.105888,0,0,30,0,28.1446,8.4663e-05,0,0,0,0,0,22569.5,26294.9,0.000665435,168.368,0,0,0,0,2.15376,0,7.4793e-05,2.2475e-05,0,0,0.0352152,0,0,0,0,0,0,0,0,2.13185,274.91,0.00103626,0,0.108627,0.122534,0,0,0.000282544,0.0269667,0,0,0,4,1.95634,0,14,0,0,0,0,0,0,0,16,0,0.00975219,0,0,0,53001.8,0,26707.8,0,0,0,0,0,0,0.0261735,0.00010869,0,0,0,0,10,30,0,0,0,0,1.04752,0
false,TWO_PC,0.5,0.05,0,4,WAIT_DIE,34915.6,0,0,0.138468,331.508,0.0749316,8.0448e-05,0,0,0,0.121981,0,0,56,0,51.3708,0.000294367,0,0,0,0,0,21944.9,27986.9,0.00141563,269.268,0,0,0,0,2.48243,0,0.000278616,0.000223225,0,0,0.0654869,0,0,0,0,0,0,0,0,4.36045,322.424,0.00344841,0,0.123155,0.138468,0,0,0.000548584,0.0563838,0,0,0,12,3.91147,0,32,0,0,0,0,0,0,0,28,0,0.0215445,0,0,0,56341.5,0,28356,0,0,0,0,0,0,0.0678093,0.00022666,0,0,0,0,16,56,0,0,0,0,1.07237,0
false,TWO_PC,0.5,0.05,0,8,WAIT_DIE,35358.7,0,20,0.154564,213.715,0.0809348,0.000159884,0,0,0,0.106495,0,0,103,0,94.9503,0.000392875,0,0,0,0,0,25706.1,32125.4,0.00241093,62.9803,0,0,0,0,1.76621,0,0.000362284,0.000118521,0,0,0.11106,0,0,0,0,0,0,0,0,8.67823,176.999,0.00205945,0,0.113256,0.154702,0,0,0.00102258,0.0943102,0,0,0,14,7.84528,0,57,0,0,0,0,0,0,0,47,0,0.023506,0,0,0,65024,0,32900,0,0,0,0,0,0,0.131018,0.00030856,0,0,0,0,42,103,0,0,0,0,1.06843,0
false,TWO_PC,0.5,0.05,0,16,WAIT_DIE,35379.8,0,54,0.149054,229.671,0.0784954,0.000345644,0,0,0,0.114656,0,0,215,0,193.092,0.000694566,0,0,0,0,0,27458.3,28441,0.00388327,49.0281,0,0,0,0,2.13363,0,0.000633647,0.000156728,0,0,0.174669,0,0,0,0,0,0,0,0,17.8153,161.291,0.00353587,0,0.122533,0.149125,0,0,0.0021092,0.227753,0,0,0,31,15.6946,0,118,0,0,0,0,0,0,0,96,0,0.0443729,0,0,0,60744.5,0,32304.5,0,0,0,0,0,0,0.331647,0.000397666,0,0,0,0,88,215,0,0,0,0,1.09806,0
false,TWO_PC,0.5,0.05,0,32,WAIT_DIE,36048,0,42,0.13452,314.344,0.0800686,0.000655144,0,0,0,0.115781,0,0,422,0,378.648,0.00131004,0,0,0,0,0,28544.3,29484,0.00913741,68.9102,0,0,0,0,2.37096,0,0.00118942,0.000427445,0,0,0.244778,0,0,0,0,0,0,0,0,35.6637,236.945,0.00630919,0,0.133666,0.134728,0,0,0.00410128,0.446407,0,0,0,78,31.3482,0,233,0,0,0,0,0,0,0,186,0,0.124309,0,0,0,60523.6,0,31040.5,0,0,0,0,0,0,0.677123,0.0010845,0,0,0,0,158,422,0,0,0,0,1.0947,0
false,ONE_PC,0.5,0.05,0,2,WAIT_DIE,34138.7,0,74,0.0836157,148.069,0.0455429,6.888e-05,0,0,0,0.0752516,0,0,45,0,43.2391,6.5546e-05,0,0,0,0,0,22328.6,1.21564,0.00103034,42.9565,0,0,0,0,2.97085,0,5.542e-05,4.2489e-05,0,0,0.0340643,0,0,0,0,0,0,0,0,2.08145,87.2675,0.00104731,0,0.0753659,0.0836157,0,0,0.00043978,0.0192692,0,0,0,6,1.96094,0,24,0,0,0,0,0,0,0,21,0,0.00520871,0,0,0,36162.9,0,31704.8,0,0,0,0,0,0,0.0190959,0.00010345,0,0,0,0,18,45,0,0,0,0,1.02281,0
false,ONE_PC,0.5,0.05,0,4,WAIT_DIE,31899.2,0,96,0.0932187,170.381,0.046063,0.0001472,0,0,0,0.0753339,0,0,90,0,85.179,0.000307187,0,0,0,0,0,26021,1.09917,0.0015604,69.4186,0,0,0,0,2.00647,0,0.000274576,6.0819e-05,0,0,0.063665,0,0,0,0,0,0,0,0,4.2264,132.837,0.00197986,0,0.0833978,0.0932187,0,0,0.000885032,0.0396474,0,0,0,18,3.91904,0,50,0,0,0,0,0,0,0,38,0,0.014714,0,0,0,33434.6,0,27320.2,0,0,0,0,0,0,0.0487724,0.000175952,0,0,0,0,34,90,0,0,0,0,1.03927,0
false,ONE_PC,0.5,0.05,0,8,WAIT_DIE,33546.6,0,293,0.100542,272.443,0.0477931,0.000308172,0,0,0,0.0753497,0,0,170,0,161.861,0.000558445,0,0,0,0,0,27734.8,1.19357,0.00317612,101.329,0,0,0,0,1.91072,0,0.000505861,0.000180402,0,0,0.10609,0,0,0,0,0,0,0,0,8.40227,225.323,0.00360032,0,0.0819833,0.1113,0,0,0.0017057,0.063741,0,0,0,32,7.82078,0,107,0,0,0,0,0,0,0,66,0,0.0468796,0,0,0,34195.5,0,28016.4,0,0,0,0,0,0,0.0909766,0.000506565,0,0,0,0,72,170,0,0,0,0,1.03351,0
