prepare_phase (in us),log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,network (in us),commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,num_pre_aborts
34606.5,0,10,0.0842843,178.471,0.0471195,0,6.88e-05,0,0,0,0.0752674,0,2,0,44,0,41.4379,0.000145152,0,0,0,0,0.05,0,24386.7,1.59827,0.000853298,87.9584,WAIT_DIE,0,0,0,0,3.28323,0,0.00013054,3.105e-05,0,0,0.0347757,0,0,false,0,0,0,0,0,0,2.12366,135.144,0.00106633,0,0.0752769,0.0842843,0,0,0.000432528,0.0257902,0,0,0,6,1.95847,0,24,0,0,0,0,0,0,0,20,0,0.00753622,0,0,0,35905.7,ONE_PC,0,31536.2,0,0,0,0,0,0,0.0252666,0.5,8.7142e-05,0,0,0,0,18,44,0,0,0,0,1.04374,0
36057.8,0,115,0.114226,241.228,0.0487246,0,0.000141348,0,0,0,0.0793765,0,4,0,85,0,80.1389,0.000307272,0,0,0,0,0.05,0,24686.2,1.46482,0.00157984,129.941,WAIT_DIE,0,0,0,0,1.7998,0,0.00027888,8.1346e-05,0,0,0.0640258,0,0,false,0,0,0,0,0,0,4.24264,219.784,0.00181342,0,0.083463,0.114226,0,0,0.000844244,0.0417295,0,0,0,17,3.9112,0,50,0,0,0,0,0,0,0,36,0,0.0225502,0,0,0,35813.5,ONE_PC,0,30693.7,0,0,0,0,0,0,0.0512748,0.5,0.000252696,0,0,0,0,32,85,0,0,0,0,1.04334,0
36255.2,0,88,0.12742,248.121,0.0522384,0,0.000270312,0,0,0,0.0806203,0,8,0,157,0,147.676,0.00054396,0,0,0,0,0.05,0,31430.1,1.63064,0.00291774,116.451,WAIT_DIE,0,0,0,0,1.54349,0,0.000482324,0.00020819,0,0,0.107486,0,0,false,0,0,0,0,0,0,8.50513,213.44,0.00328309,0,0.0835576,0.127898,0,0,0.00155831,0.0755608,0,0,0,27,7.82731,0,94,0,0,0,0,0,0,0,64,0,0.0412396,0,0,0,36469.2,ONE_PC,0,30602.6,0,0,0,0,0,0,0.107394,0.5,0.000716738,0,0,0,0,66,157,0,0,0,0,1.04616,0
40692.6,0,260,0.134318,262.665,0.0529253,0,0.00052686,0,0,0,0.0835079,0,16,0,312,0,290.902,0.00125814,0,0,0,0,0.05,0,26103.1,1.2725,0.00537168,51.5027,WAIT_DIE,0,0,0,0,2.2394,0,0.00116026,0.00026763,0,0,0.165694,0,0,false,0,0,0,0,0,0,17.1604,161.028,0.00449417,0,0.0851112,0.134423,0,0,0.00305992,0.156809,0,0,0,50,15.6762,0,179,0,0,0,0,0,0,0,132,0,0.0630814,0,0,0,42722.9,ONE_PC,0,37522.6,0,0,0,0,0,0,0.241805,0.5,0.000883732,0,0,0,0,130,312,0,0,0,0,1.05562,0
46937.5,0,139,0.150558,308.602,0.0600267,0,0.000873008,0,0,0,0.103514,0,32,0,553,0,515.56,0.00203711,0,0,0,0,0.05,0,29081.7,1.3063,0.0111548,46.5722,WAIT_DIE,0,0,0,0,2.18018,0,0.00186924,0.000597778,0,0,0.226277,0,0,false,0,0,0,0,0,0,34.3239,151.389,0.00665353,0,0.122726,0.169412,0,0,0.00538357,0.305489,0,0,0,101,31.3638,0,314,0,0,0,0,0,0,0,244,0,0.107647,0,0,0,49119,ONE_PC,0,43649.2,0,0,0,0,0,0,0.481833,0.5,0.00141381,0,0,0,0,208,553,0,0,0,0,1.05151,0
33444.4,0,0,0.119986,258.296,0.0702163,0,3.8712e-05,0,0,0,0.108546,0,2,0,30,0,28.1454,9.102e-05,0,0,0,0,0.05,0,19627,27191.7,0.000641554,105.572,WAIT_DIE,0,0,0,0,1.94671,0,8.069e-05,8.0498e-05,0,0,0.035192,0,0,false,0,0,0,0,0,0,2.13179,232.579,0.00346098,0,0.109799,0.119986,0,0,0.000282544,0.0271235,0,0,0,4,1.95781,0,14,0,0,0,0,0,0,0,16,0,0.00828155,0,0,0,58141.2,TWO_PC,0,30950.2,0,0,0,0,0,0,0.0263218,0.5,6.162e-05,0,0,0,0,10,30,0,0,0,0,1.04778,0
32218.8,0,24,0.170982,284.412,0.0703622,0,8.2488e-05,0,0,0,0.10384,0,4,0,60,0,55.0393,0.000184944,0,0,0,0,0.05,0,18382.5,28478.9,0.00105843,161.586,WAIT_DIE,0,0,0,0,2.40141,0,0.000169156,4.676e-05,0,0,0.0657623,0,0,false,0,0,0,0,0,0,4.36052,263.18,0.00135118,0,0.12009,0.170982,0,0,0.000576408,0.056636,0,0,0,14,3.91482,0,28,0,0,0,0,0,0,0,28,0,0.0187477,0,0,0,57894,TWO_PC,0,29416.7,0,0,0,0,0,0,0.0684266,0.5,0.000153992,0,0,0,0,18,60,0,0,0,0,1.07268,0
34565.5,0,33,0.149957,225.468,0.0801415,0,0.000164012,0,0,0,0.120838,0,8,0,104,0,95.8696,0.000359768,0,0,0,0,0.05,0,31270.8,28284.8,0.00258131,91.8223,WAIT_DIE,0,0,0,0,1.69239,0,0.00032652,0.000131522,0,0,0.115212,0,0,false,0,0,0,0,0,0,8.67845,193.969,0.00195582,0,0.121048,0.150159,0,0,0.00102886,0.0944402,0,0,0,16,7.84263,0,56,0,0,0,0,0,0,0,47,0,0.0262232,0,0,0,56199.6,TWO_PC,0,27915.7,0,0,0,0,0,0,0.131662,0.5,0.000273708,0,0,0,0,41,104,0,0,0,0,1.06698,0
34857.9,0,33,0.169065,233.204,0.0770694,0,0.000345936,0,0,0,0.120501,0,16,0,216,0,193.99,0.000985288,0,0,0,0,0.05,0,29657.4,27112.2,0.00389516,50.1892,WAIT_DIE,0,0,0,0,2.13162,0,0.000912482,0.000163342,0,0,0.171934,0,0,false,0,0,0,0,0,0,17.8153,167.131,0.00375519,0,0.127291,0.169097,0,0,0.00212776,0.224962,0,0,0,32,15.6928,0,119,0,0,0,0,0,0,0,98,0,0.0458565,0,0,0,55520.8,TWO_PC,0,28409.8,0,0,0,0,0,0,0.334748,0.5,0.000539968,0,0,0,0,86,216,0,0,0,0,1.09787,0
37237.3,0,60,0.127562,321.149,0.0804524,0,0.000650996,0,0,0,0.11995,0,32,0,417,0,374.148,0.00194099,0,0,0,0,0.05,0,26868.2,29338.3,0.00830088,71.9627,WAIT_DIE,0,0,0,0,2.38849,0,0.00181047,0.000384156,0,0,0.239849,0,0,false,0,0,0,0,0,0,35.665,248.629,0.00554127,0,0.126925,0.133802,0,0,0.00405893,0.45339,0,0,0,77,31.3431,0,236,0,0,0,0,0,0,0,184,0,0.127587,0,0,0,62814.7,TWO_PC,0,33477.5,0,0,0,0,0,0,0.684046,0.5,0.00129526,0,0,0,0,156,417,0,0,0,0,1.09581,0
