log_size,num_log_yes,execute_phase (in us),ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,num_cache_misses,NUM_SERVER_THREADS,network_log,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,num_renew,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug7,time_debug4,time_read_queue,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,time_debug1 (in us),num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,time_debug5 (in us),COMMIT_ALG,time_debug6 (in us),num_cache_updates,total_log_yes (in us),time_write_output_queue,num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,total logs,CC (row) (in us),num_aborts_rs,time_write_queue,num_no_need_to_renewal,num_remote_write_txn,num_commits,total msgs,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,time_debug2 (in us),prepare_phase_2 (in us),num_pre_aborts
0,0,0,0,0.000449876,0,0,0,0,0,2,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.000351697,0,WAIT_DIE,0,0,0,0,1.86222,0,7.971e-06,0.108052,0,true,0,0,0,0,0,0,0,0,0.00107237,0,0,0,5.08e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,127,60,0,15942.4,0,0,0,0,0,0,3006.6,TWO_PC,19355.5,0,0,0,0,0,0,0,0,0,0,0.5,60,0,0,0,0,0,0,127,0,0,0,0,0.933818,15062,0,0
0,0,0,0,0.000842588,0,0,0,0,0,4,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.000607684,0,WAIT_DIE,0,0,0,0,1.23868,0,1.2775e-05,0.107571,0,true,0,0,0,0,0,0,0,0,0.00193657,0,0,0,9.44e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,236,63,0,16434.9,0,0,0,0,0,0,2684.99,TWO_PC,20847.7,0,0,0,0,0,0,0,0,0,0,0.5,63,0,0,0,0,0,0,236,0,0,0,0,0.954612,15446.5,0,0
0,0,0,0,0.00156416,0,0,0,0,0,8,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.000950286,0,WAIT_DIE,0,0,0,0,1.04414,0,3.8902e-05,0.107781,0,true,0,0,0,0,0,0,0,0,0.00373241,0,0,0,1.88e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,470,60,0,17291.3,0,0,0,0,0,0,1544.67,TWO_PC,21977.2,0,0,0,0,0,0,0,0,0,0,0.5,60,0,0,0,0,0,0,470,0,0,0,0,0.950866,16272.7,0,0
0,0,0,0,0.00303322,0,0,0,0,0,16,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.00200027,0,WAIT_DIE,0,0,0,0,1.06005,0,6.922e-05,0.110841,0,true,0,0,0,0,0,0,0,0,0.00599076,0,0,0,3.584e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,896,63,0,16660.8,0,0,0,0,0,0,1300.78,TWO_PC,21200.4,0,0,0,0,0,0,0,0,0,0,0.5,63,0,0,0,0,0,0,896,0,0,0,0,0.965908,15636.7,0,0
0,0,0,0,0.00490476,0,0,0,0,0,32,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.00226648,0,WAIT_DIE,0,0,0,0,1.10807,0,8.6225e-05,0.1148,0,true,0,0,0,0,0,0,0,0,0.00859138,0,0,0,5.384e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1024,62,0,17385.8,0,0,0,0,0,0,1343.87,TWO_PC,24399.8,0,0,0,0,0,0,0,0,0,0,0.5,62,0,0,0,0,0,0,1024,0,0,0,0,1.01216,16381.1,0,0
0,0,0,0,0.00353247,0,0,0,0,0,64,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.00133868,0,WAIT_DIE,0,0,0,0,1.27566,0,7.3522e-05,0.133228,0,true,0,0,0,0,0,0,0,0,0.00619672,0,0,0,3.824e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,956,59,0,16739.9,0,0,0,0,0,0,1454.28,TWO_PC,23404.4,0,0,0,0,0,0,0,0,0,0,0.5,59,0,0,0,0,0,0,956,0,0,0,0,1.16277,15841.6,0,0
0,0,0,0,0.00298877,0,0,0,0,0,128,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.0012706,0,WAIT_DIE,0,0,0,0,1.64175,0,6.2663e-05,0.165107,0,true,0,0,0,0,0,0,0,0,0.00544313,0,0,0,3.248e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,812,72,0,16305.8,0,0,0,0,0,0,1400.7,TWO_PC,22722,0,0,0,0,0,0,0,0,0,0,0.5,72,0,0,0,0,0,0,812,0,0,0,0,1.41851,15409.9,0,0
0,0,0,0,0.000548304,0,0,0,0,0,2,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.000348711,0,WAIT_DIE,0,0,0,0,1.03594,0,1.5765e-05,0.107337,0,true,0,0,0,0,0,0,0,0,0.00133008,0,0,0,6.16e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,154,62,0,16003.1,0,0,0,0,0,0,3835.35,ONE_PC,18689,0,0,0,0,0,0,0,0,0,0,0.5,62,0,0,0,0,0,0,154,0,0,0,0,0.940971,15076.3,0,0
0,0,0,0,0.00105501,0,0,0,0,0,4,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.000727851,0,WAIT_DIE,0,0,0,0,1.0301,0,3.3241e-05,0.108608,0,true,0,0,0,0,0,0,0,0,0.00197936,0,0,0,1.18e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,295,62,0,16337.7,0,0,0,0,0,0,2802.04,ONE_PC,18857.1,0,0,0,0,0,0,0,0,0,0,0.5,62,0,0,0,0,0,0,295,0,0,0,0,0.937605,15364.9,0,0
0,0,0,0,0.0020523,0,0,0,0,0,8,0,0,0,0,inf,0,0,0,0,0,0.05,0,1000,0,0.00115163,0,WAIT_DIE,0,0,0,0,1.03758,0,6.3158e-05,0.109951,0,true,0,0,0,0,0,0,0,0,0.00392039,0,0,0,2.432e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,608,63,0,16387.9,0,0,0,0,0,0,2336.89,ONE_PC,18850.5,0,0,0,0,0,0,0,0,0,0,0.5,63,0,0,0,0,0,0,608,0,0,0,0,0.944334,15389.7,0,0
