log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_debug3,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,network (in us),commit_phase (in us),time_send_msg,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_read_queue,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,int_aborts_ws1,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,prepare_phase_2 (in us),num_pre_aborts
0,8644,0.00490626,265.466,0.00278589,0,0.00532142,0,0,2519.23,5,0.00384346,0,28,0,8644,0,8602.2,0.0141462,0,5,0,0,0.02,0,1018.62,0.454,0.120817,154.553,WAIT_DIE,0.00249576,0,0,0,1.30205,0,0.0111323,0.00721153,0,0,0.341665,0,0,false,0,0,0,0,0,0,28.1361,176.528,0.0889773,0,0.00406369,0.0192493,0,0,0.0760493,0.776698,0,0,0,1084,22.0184,0,2410,0,0,0,0,5,13381,0,6296,0,1.79269,0,0,0,1695.09,ONE_PC,0,2349.31,0,0,0,0,0,0,0.808212,0.5,0.012342,0,5,0,0,1264,8644,0.645112,0,0,5,0.836681,0.0988185,0
0,7738,0.00613569,285.076,0.00292451,0,0.00918632,0,0,2637.94,1,0.00392075,0,28,0,7738,0,7594.22,0.0192467,0,1,0,0,0.04,0,1727.06,0.742564,0.13208,90.1221,WAIT_DIE,0.000546962,0,0,0,1.44637,0,0.0153393,0.00801107,0,0,0.342643,0,0,false,0,0,0,0,0,0,28.5301,108.829,0.119417,0,0.00422627,0.0187072,0,0,0.0726498,0.85162,0,0,0,1618,22.6769,0,3686,0,0,0,2,1,14577,0,3982,0,1.09061,0,0,0,1344.9,ONE_PC,0,2271.18,0,0,0.677171,2,0,0,0.873787,0.5,0.0141782,0,1,0,0,2138,7738,0.615748,0,0,1,0.836513,0.14,0
0,6749,0.0177727,424.862,0.00321801,0,0.0115081,0,0,2791.58,1,0.00382886,0,28,0,6749,0,6724.45,0.0186974,0,1,0,0,0.06,0,2435.87,0.922106,0.128817,55.03,WAIT_DIE,0.000227176,0,0,0,1.45273,0,0.015333,0.00768933,0,0,0.33253,0,0,false,0,0,0,0,0,0,28.1022,72.7122,0.127612,0,0.00459503,0.0738339,0,0,0.0667214,0.79394,0,0,0,1658,22.983,0,4206,0,0,0,1,1,14692,0,2550,0,0.709094,0,0,0,1157.54,ONE_PC,0,2198.12,0,0,0.126299,1,0,0,0.810991,0.5,0.0145011,0,1,0,0,2541,6749,0.507526,0,0,1,0.825025,0.142416,0
0,6516,0.00667807,409.353,0.00317515,0,0.0147006,0,0,2762.89,4,0.00387744,0,28,0,6516,0,6485.57,0.0248337,0,4,0,0,0.08,0,2846.71,1.30539,0.164426,183.695,WAIT_DIE,0.00193224,0,0,0,1.35109,0,0.0197643,0.00955699,0,0,0.326974,0,0,false,0,0,0,0,0,0,28.1314,195.967,0.155521,0,0.00433536,0.0577607,0,2,0.0680124,0.776741,0,0,0,1669,22.0459,0,4837,0,0,0,0,4,16013,0,1725,0,1.63646,0,0,0,1014.18,ONE_PC,0,2097.89,0,0,0,0,0,0,0.797074,0.5,0.0178405,0,2,0,0,3122,6516,1.43767,0,0,4,0.782561,0.169054,0
0,5855,0.0183235,497.813,0.00340388,0,0.016269,0,0,2902.23,4,0.00380644,0,28,0,5855,0,5828.52,0.0216296,0,4,0,0,0.1,0,3478.96,1.51147,0.141298,41.0581,WAIT_DIE,0.00171901,0,0,0,1.44122,0,0.0177196,0.00940665,0,0,0.332743,0,0,false,0,0,0,0,0,0,28.1272,126.098,0.146689,0,0.0046267,0.0806009,0,1,0.0639478,0.793456,0,0,0,1481,22.7364,0,4785,0,0,0,0,4,15563,0,1085,0,1.02214,0,0,0,991.199,ONE_PC,0,2162.58,0,0,0,0,0,0,0.814308,0.5,0.0170901,0,3,0,0,3289,5855,2.15918,0,0,4,0.809213,0.166616,0
0,8729,0.0076958,209.509,0.00297429,0,0.00284739,0,0,2580.21,15,0.00411523,0,28,0,8729,0,8547.74,0.00999118,0,15,0,0,0.01,0,567.338,183.473,0.0780886,38.8773,WAIT_DIE,0.00655549,0,0,0,1.51751,0,0.00791961,0.00379179,0,0,0.32676,0,0,false,0,0,0,0,0,0,28.5938,130.344,0.0572372,0,0.00582977,0.0607012,0,3,0.074663,0.760297,0,0,0,601,22.3909,0,1271,0,0,0,0,15,11322,0,7467,0,1.36411,0,0,0,2066.19,TWO_PC,0,2502.97,0,0,0,0,0,0,0.872786,0.5,0.00902549,0,12,0,0,661,8729,0.9058,0,0,15,0.907247,0.191135,0
0,7848,0.01473,282.393,0.00312206,0,0.00480049,0,0,2512.99,0,0.00543558,0,28,0,7848,0,7627.78,0.0126599,0,0,0,0,0.02,0,1084.23,326.509,0.109326,40.6487,WAIT_DIE,0,0,0,0,1.4882,0,0.0100205,0.00526595,0,0,0.355065,0,0,false,0,0,0,0,0,0,28.8084,136.799,0.087102,0,0.00604092,0.0477891,0,0,0.0688736,0.785619,0,0,0,986,22.45,0,2153,0,0,0,0,0,12295,0,5722,0,1.31297,0,0,0,1685.95,TWO_PC,0,2320.79,0,0,0,0,0,0,0.916272,0.5,0.0103788,0,0,0,0,1140,7848,0,0,0,0,0.847917,0.177402,0
0,6027,0.0207783,464.417,0.00387486,0,0.00728143,0,0,2750.93,1,0.005754,0,28,0,6027,0,5934.23,0.0158531,0,1,0,0,0.04,0,1935.36,658.39,0.13229,162.536,WAIT_DIE,0.000285302,0,0,0,1.36954,0,0.0131109,0.00642061,0,0,0.33633,0,0,false,0,0,0,0,0,0,28.4377,176.807,0.102665,0,0.00662055,0.0954617,0,4,0.0568577,0.758393,0,0,0,1246,22.3981,0,2965,0,0,0,1,4,12375,0,3094,0,1.30218,0,0,0,1475.07,TWO_PC,0,2375.45,0,0,1.08209,1,0,0,0.877355,0.5,0.0124841,0,0,0,0,1687,6027,0.90737,0,0,1,0.759063,0.215469,0
0,5268,0.0203787,542.923,0.00428011,0,0.00905681,0,0,2809.48,1,0.00589314,0,28,0,5268,0,5189.06,0.0150621,0,1,0,0,0.06,0,2615.75,925.824,0.1341,42.484,WAIT_DIE,0.000518144,0,0,0,1.46992,0,0.0123207,0.00620415,0,0,0.348025,0,0,false,0,0,0,0,0,0,28.4259,138.076,0.112691,0,0.00798341,0.0942914,0,0,0.0521643,0.738629,0,0,0,1275,22.7474,0,3302,0,0,0,0,4,12603,0,1978,0,0.940616,0,0,0,1366.51,TWO_PC,0,2348,0,0,0,0,0,0,0.867055,0.5,0.0127445,0,4,0,0,2015,5268,1.65117,0,0,1,0.75275,0.232145,0
0,5649,0.00703447,342.56,0.00379942,0,0.0126196,0,0,2561.51,0,0.00555539,0,28,0,5649,0,5611.2,0.0200872,0,0,0,0,0.08,0,2672.87,895.107,0.117645,169.985,WAIT_DIE,0,0,0,0,1.40265,0,0.0166339,0.00550783,0,0,0.268511,0,0,false,0,0,0,0,0,0,28.1886,178.75,0.127556,0,0.00593999,0.0215518,0,0,0.0587635,0.732032,0,0,0,1445,22.4735,0,4130,0,0,0,0,0,15149,0,1520,0,1.29953,0,0,0,1093.88,TWO_PC,0,2042.72,0,0,0,0,0,0,0.819215,0.5,0.0166114,0,0,0,0,2684,5649,0,0,0,0,0.843472,0.239065,0
0,4945,0.00866118,356.584,0.00417425,0,0.0137659,0,0,2693.31,4,0.0059511,0,28,0,4945,0,4914.65,0.0188657,0,4,0,0,0.1,0,3297.22,1120.48,0.138311,41.6856,WAIT_DIE,0.00231841,0,0,0,1.40457,0,0.0149137,0.00743941,0,0,0.33207,0,0,false,0,0,0,0,0,0,28.1729,129.258,0.119609,0,0.0068096,0.0263101,0,0,0.0540229,0.712031,0,0,0,1254,22.8699,0,4046,0,0,0,0,4,14596,0,887,0,0.88219,0,0,0,1091.34,TWO_PC,0,2104.71,0,0,0,0,0,0,0.827217,0.5,0.0142837,0,4,0,0,2804,4945,3.61727,0,0,4,0.819006,0.261754,0
