log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,ZIPF_THETA,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,90%_latency,num_cache_misses,NUM_SERVER_THREADS,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,PERC_REMOTE,num_cache_evictions,LOG_TIMEOUT,commit_phase (in us),time_send_msg,average_distributed_latency,CC (index) (in us),CC_ALG,time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,LOG_NODE,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,int_aborts_ws1,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,average_local_latency,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,network (in us),num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),COMMIT_ALG,num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,READ_PERC,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,prepare_phase_2 (in us),num_pre_aborts
0,649,0.00648594,253.613,0.00252858,0,0.000947548,0,0,1759.52,0,0.00405794,0,2,0,649,0,646.353,0.00210645,0.159367,0,0,0,0.05,0,1000,515.344,0.0137435,0.00314197,80.5994,WAIT_DIE,0,0,0,0,2.35981,0,0.00188474,0.000475855,0,0,0,0,0,false,0,0,0,0,0,0,2.00819,203.318,0.0187882,0,0,0.00471989,0.00782932,0,0,0.00628398,0.0662291,0.00176448,0,0,145,1.50696,0,1222.56,359,0,0,0,0,0,1438,0,289,0,0.15339,0,0,0,933.833,TWO_PC,0,1556.52,0,0,0,0,0,0,0.0640632,0.5,0.00202478,0,0,0,0,215,649,0,0,0,0,0.912064,0.0930647,0
0,1270,0.00611176,242.37,0.00253684,0,0.0018844,0,0,1774.07,0,0.00397522,0,4,0,1270,0,1266.51,0.00382998,0.212867,0,0,0,0.05,0,1000,520.246,0.0246307,0.00311581,127.167,WAIT_DIE,0,0,0,0,1.55068,0,0.00327235,0.000952892,0,0,0,0,0,false,0,0,0,0,0,0,4.01103,206.768,0.0262632,0,0,0.00471096,0.00923462,0,0,0.0123983,0.108593,0.00177892,0,0,291,3.03322,0,1320.99,724,0,0,0,0,0,2853,0,550,0,0.302611,0,0,0,923.486,TWO_PC,0,1557.06,0,0,0,0,0,0,0.128033,0.5,0.00259117,0,0,0,0,429,1270,0,0,0,0,0.92237,0.152994,0
0,2244,0.00736525,235.366,0.00278851,0,0.0034554,0,0,1989.17,0,0.00481672,0,8,0,2244,0,2229.45,0.00733298,0.255473,0,0,0,0.05,0,1000,563.797,0.0460943,0.00346936,45.1539,WAIT_DIE,0,0,0,0,1.93682,0,0.00653515,0.00209237,0,0,0,0,0,false,0,0,0,0,0,0,8.0522,152.602,0.0555057,0,0,0.00548215,0.0101282,0,0,0.0218562,0.196938,0.00182477,0,0,524,6.24408,0,1650.03,1326,0,0,0,0,0,5159,0,929,0,0.412587,0,0,0,966.438,TWO_PC,0,1661.19,0,0,0,0,0,0,0.270712,0.5,0.00713973,0,0,0,0,791,2244,0,0,0,0,0.921937,0.174879,0
0,3349,0.00739056,190.359,0.00285381,0,0.00510677,0,0,2078.89,0,0.00487651,0,12,0,3349,0,3337.37,0.00933311,0.269028,0,0,0,0.05,0,1000,584.413,0.0610282,0.00356136,29.6759,WAIT_DIE,0,0,0,0,1.44394,0,0.00818102,0.00293527,0,0,0,0,0,false,0,0,0,0,0,0,12.0418,90.1586,0.0613579,0,0,0.00513734,0.0112964,0,0,0.0324703,0.27903,0.00187723,0,0,786,9.57216,0,1563.34,1957,0,0,0,0,0,7629,0,1407,0,0.387527,0,0,0,1036.02,TWO_PC,0,1778.59,0,0,0,0,0,0,0.409417,0.5,0.00737849,0,0,0,0,1156,3349,0,0,0,0,0.908237,0.155251,0
0,4176,0.00719778,214.718,0.00311602,0,0.00627366,0,0,2265.13,0,0.00510336,0,16,0,4176,0,4151.06,0.0112043,0.300823,0,0,0,0.05,0,1000,636.023,0.0822096,0.00387924,33.9207,WAIT_DIE,0,0,0,0,1.60291,0,0.00954089,0.00395348,0,0,0,0,0,false,0,0,0,0,0,0,16.0961,106.797,0.0700667,0,0,0.00555006,0.0150664,0,0,0.040252,0.384487,0.00209768,0,0,958,12.7915,0,1592.16,2379,0,0,0,1,0,9405,0,1789,0,0.56439,0,0,0,1162.97,TWO_PC,0,1986.64,0,0,0.450836,1,0,0,0.532502,0.5,0.00930136,0,0,0,0,1429,4176,0,0,0,0,0.885542,0.14877,0
0,4865,0.00711508,216.778,0.00328081,0,0.00733502,0,0,2413.11,0,0.00535126,0,20,0,4865,0,4821.76,0.0113468,0.333766,0,0,0,0.05,0,1000,650.804,0.0946303,0.00423271,15.1824,WAIT_DIE,0,0,0,0,1.29527,0,0.00954139,0.00428065,0,0,0,0,0,false,0,0,0,0,0,0,20.1794,37.3799,0.0716187,0,0,0.0058086,0.0107173,0,0,0.0470499,0.520414,0.00199874,0,0,1113,16.4957,0,1917.88,2809,0,0,0,0,0,11040,0,2073,0,0.294771,0,0,0,1138.27,TWO_PC,0,1935.21,0,0,0,0,0,0,0.645645,0.5,0.00820853,0,0,0,0,1679,4865,0,0,0,0,0.875398,0.116733,0
0,5597,0.00727847,269.612,0.00347336,0,0.00830784,0,0,2519.41,10,0.00551713,0,24,0,5597,0,5551.57,0.0158349,0.282614,10,0,0,0.05,0,1000,682.85,0.106904,0.00443862,41.4634,WAIT_DIE,0.00385266,0,0,0,1.44011,0,0.0124149,0.00531333,0,0,0,0,0,false,0,0,0,0,0,0,24.1964,135.673,0.105919,0,0,0.00621923,0.0102001,0,10,0.054108,0.626543,0.00221076,0,0,1262,19.3515,0,1924.12,3195,0,0,0,0,10,12629,0,2425,0,0.963817,0,0,0,1230.4,TWO_PC,0,2098.07,0,0,0,0,0,0,0.734195,0.5,0.0125227,0,0,0,0,1910,5597,1.28557,0,0,10,0.8619,0.203704,0
0,5147,0.0214898,622.188,0.00440154,0,0.00771488,0,0,2855.54,0,0.00598782,0,28,0,5147,0,5052.83,0.0160874,0.39352,0,0,0,0.05,0,1000,923.622,0.127183,0.00556104,167.12,WAIT_DIE,0,0,0,0,1.42069,0,0.0129061,0.00575096,0,0,0,0,0,false,0,0,0,0,0,0,28.5218,180.999,0.098198,0,0,0.0134422,0.0957626,0,0,0.0499187,0.883584,0.00285572,0,0,1157,22.4121,0,2551.05,2954,0,0,0,0,0,11675,0,2206,0,1.13822,0,0,0,1487.99,TWO_PC,0,2456.33,0,0,0,0,0,0,0.875867,0.5,0.0112943,0,0,0,0,1784,5147,0,0,0,0,0.699986,0.190865,0
0,1065,0.00448404,215.989,0.00181114,0,0.0015275,0,0,1594.57,0,0.00243522,0,2,0,1065,0,1064.07,0.00254536,0.158535,0,0,0,0.05,0,1000,0.508517,0.021078,0.00200743,84.3775,WAIT_DIE,0,0,0,0,2.43427,0,0.00217281,0.00065152,0,0,0,0,0,false,0,0,0,0,0,0,2.00175,185.943,0.0256412,0,0,0.00275848,0.00633198,0,0,0.0103335,0.0627458,0.0015773,0,0,231,1.44668,0,707.581,576,0,0,0,0,0,1641,0,486,0,0.225819,0,0,0,887.565,ONE_PC,0,1367.63,0,0,0,0,0,0,0.0608241,0.5,0.0020633,0,0,0,0,348,1065,0,0,0,0,0.901057,0.076692,0
0,1875,0.00536276,189.385,0.00206718,0,0.0027466,0,0,1877.15,0,0.00282476,0,4,0,1875,0,1873.07,0.00572783,0.213133,0,0,0,0.05,0,1000,0.543972,0.0382169,0.00232708,60.6775,WAIT_DIE,0,0,0,0,1.63709,0,0.00509381,0.00122558,0,0,0,0,0,false,0,0,0,0,0,0,4.00413,135.576,0.0433672,0,0,0.00360053,0.00884761,0,0,0.0182549,0.107732,0.00174416,0,0,417,3.03239,0,804.234,1038,0,0,0,0,0,2913,0,836,0,0.301804,0,0,0,1008.96,ONE_PC,0,1567.54,0,0,0,0,0,0,0.127759,0.5,0.0032783,0,0,0,0,622,1875,0,0,0,0,0.906164,0.0939424,0
