LOG_NODE,COMMIT_ALG,READ_PERC,PERC_REMOTE,ZIPF_THETA,NUM_SERVER_THREADS,CC_ALG,log_size,num_log_yes,99%_latency,execute_phase (in us),average_latency,bytes_received,int_aborts_maat_resolve_failure,cache,prepare_phase_1 (in us),num_aborts_restart,90%_latency,num_cache_misses,num_cache_remove,num_home_txn,time_waiting_for_job,Throughput,time_write_queue,time_read_queue,num_aborts_execute,int_aborts_ws2,dummy_bytes_sent,num_cache_evictions,network (in us),commit_phase (in us),time_send_msg,average_distributed_latency,CC (index) (in us),time_abort_queue,int_urgentwrite,num_aborts_terminate,num_local_hits,time_input_idle,time_debug6,time_debug7,time_debug4,time_debug5,time_debug2,time_debug3,time_debug1,int_aborts_maat_resolve_no_feasibles,int_saved_by_hist,int_debug5,int_aborts_rs3,int_aborts_rs2,int_aborts_rs1,int_debug4,run_time,logic (in us),time_recv_msg,num_cache_hits,int_aborts_ws1,95%_latency,max_latency,num_aborts_signal,num_aborts_ws,bytes_sent,time_read_input_queue,average_local_latency,num_ro_read,int_aborts_maat_empty_interval_after_adjustment,num_remote_readonly_txn,time_idle,num_aborts_remote,num_remote_txn,int_debug6,num_cache_reads,num_ro_check,int_debug3,int_debug2,int_debug1,num_cache_bypass,num_local_txn,int_aborts_maat_adjust_others_failure,time_process_txn,int_inevitable,lock_phase (in us),num_cache_inserts,network_log (in us),num_cache_updates,total_log_yes (in us),num_renew_success,int_possibMVCC,wait (in us),num_waits,num_renew_failure,num_rw_check,time_wait_buffer,time_write_output_queue,CC (row) (in us),num_aborts_rs,num_renew,num_no_need_to_renewal,num_remote_write_txn,num_commits,abort (in us),num_renewals,num_rw_read,num_aborts,time_output_idle,prepare_phase_2 (in us),num_pre_aborts
false,ONE_PC,0.5,0.01,0,28,WAIT_DIE,0,9338,0.00501664,237.448,0.00294168,0.0030898,0,0,2703.27,14,0.00402018,0,0,9338,0,9209.32,0.0122555,0.356075,14,0,0,0,385.861,0.252499,0.0899709,0.00423523,154.937,0.00478525,0,0,0,1.29364,0,0.00977913,0.00469232,0,0,0,0,0,0,0,0,0,0,0,28.3913,180.241,0.0713666,0,0,0.00418845,0.0300948,0,6,0.0799122,0.776387,0.0027242,0,0,644,21.9449,0,1406,0,0,0,0,14,10744,0,7994,0,1.93602,0,0,0,2279.8,0,2623.12,0,0,0,0,0,0,0.842922,0.00885139,0,8,0,0,700,9338,0.637505,0,0,14,0.883813,0.0713873,0
false,ONE_PC,0.5,0.02,0,28,WAIT_DIE,0,9408,0.0047694,275.018,0.00288472,0.00578287,0,0,2607.99,21,0.00394039,0,0,9408,0,9360.11,0.0165352,0.336342,21,0,0,0,687.876,0.449118,0.131642,0.00387183,155.379,0.00871589,0,0,0,1.31255,0,0.0131346,0.00672036,0,0,0,0,0,0,0,0,0,0,0,28.1432,177.564,0.0929846,0,0,0.00409466,0.00863652,0,16,0.0826395,0.75848,0.00251174,0,0,1211,21.9212,0,2561,0,0,0,0,21,11974,0,6828,0,1.95544,0,0,0,1951.87,0,2483.03,0,0,0,0,0,0,0.805245,0.0130744,0,5,0,0,1369,9408,1.16375,0,0,21,0.826621,0.0972533,0
false,ONE_PC,0.5,0.04,0,28,WAIT_DIE,0,8953,0.00603802,329.794,0.00298248,0.0108108,0,0,2650.24,14,0.00385149,0,0,8953,0,8923.91,0.023572,0.327083,14,0,0,0,1187.5,0.777888,0.176504,0.00357409,159.67,0.00741961,0,0,0,1.10816,0,0.0185217,0.010278,0,0,0,0,0,0,0,0,0,0,0,28.0913,176.932,0.143359,0,0,0.00401755,0.00942349,0,5,0.0843322,0.76448,0.00241786,0,0,1877,21.942,0,4404,0,0,0,0,14,13363,0,4581,0,1.91446,0,0,0,1580.24,0,2358.38,0,0,0,0,0,0,0.803081,0.0181483,0,9,0,0,2495,8953,1.52658,0,0,14,0.768185,0.142641,0
false,ONE_PC,0.5,0.06,0,28,WAIT_DIE,0,8498,0.0110111,440.003,0.00309961,0.0145187,0,0,2657.61,8,0.00376643,0,0,8498,0,8364.4,0.0265001,0.323673,8,0,0,0,1678.18,0.919565,0.178612,0.00365183,60.1445,0.00344991,0,0,0,1.26662,0,0.0215901,0.0103024,0,0,0,0,0,0,0,0,0,0,0,28.4472,96.3166,0.156486,0,0,0.00403005,0.0363047,0,0,0.0841857,0.811238,0.00218259,0,0,2113,22.6541,0,5332,0,0,0,0,8,13841,0,3194,0,1.12801,0,0,0,1323.33,0,2153.23,0,0,0,0,0,0,0.865883,0.0196142,0,8,0,0,3191,8498,0.927988,0,0,8,0.779948,0.151335,0
false,ONE_PC,0.5,0.08,0,28,WAIT_DIE,0,7358,0.0192931,583.464,0.00349801,0.0163601,0,0,2913.14,1,0.00379894,0,0,7358,0,7245.48,0.0241868,0.336727,1,0,0,0,2225.29,1.02002,0.15144,0.00386867,42.0786,0.000801825,0,0,0,1.40293,0,0.0194682,0.00904728,0,0,0,0,0,0,0,0,0,0,0,28.4348,58.0525,0.132723,0,0,0.00483285,0.0685048,0,0,0.0762441,0.809139,0.00247363,0,0,1906,23.0123,0,5308,0,0,0,0,1,12675,0,1955,0,0.677821,0,0,0,1389.94,0,2381.51,0,0,0,0,0,0,0.844713,0.0162113,0,1,0,0,3497,7358,0.248661,0,0,1,0.710059,0.139678,0
false,ONE_PC,0.5,0.1,0,28,WAIT_DIE,0,8020,0.0065361,452.499,0.00321266,0.0220634,0,0,2758.57,0,0.00376377,0,0,8020,0,7870.17,0.0307827,0.322162,0,0,0,0,2234.3,1.41098,0.195798,0.00341072,37.5048,0,0,0,0,1.3235,0,0.0253627,0.0123763,0,0,0,0,0,0,0,0,0,0,0,28.5331,115.643,0.186456,0,0,0.00406079,0.0196948,0,0,0.0873843,0.82607,0.00234676,0,0,2041,22.4995,0,6492,0,0,0,0,0,14519,0,1493,0,1.29499,0,0,0,1259.89,0,2279.17,0,0,0,0,0,0,0.88187,0.0223743,0,0,0,0,4486,8020,0,0,0,0,0.76059,0.172733,0
false,TWO_PC,0.5,0,0,28,WAIT_DIE,0,9040,0.00682461,158.626,0.0030929,0.00036164,0,0,2926.55,10,0.00399902,0,0,9040,0,8911.82,0.0051887,0.345618,10,0,0,0,0,7.11343,0.0861647,-nan,45.6961,0.00372748,0,0,0,1.609,0,0.00414671,0.00283768,0,0,0,0,0,0,0,0,0,0,0,28.4027,157.621,0.0382995,0,0,0.00406399,0.0498547,0,4,0.0743603,0.732344,0.0030929,0,0,0,22.1961,0,0,0,0,0,0,10,9040,0,9040,0,1.63835,0,0,0,2917.56,0,2917.64,0,0,0,0,0,0,0.838869,0.00613072,0,6,0,0,0,9040,0.513466,0,0,10,0.873281,0.0995698,0
false,TWO_PC,0.5,0.01,0,28,WAIT_DIE,0,8600,0.00783683,276.969,0.00301466,0.0027778,0,0,2549.54,52,0.00436467,0,0,8600,0,8427.71,0.00980155,0.352716,52,0,0,0,627.885,185.528,0.0896206,0.00578954,41.7073,0.0172329,0,0,0,1.49368,0,0.00787633,0.00445322,0,0,0,0,0,0,0,0,0,0,0,28.5724,153.768,0.0691551,0,0,0.00577867,0.0656421,0,17,0.0734745,0.783651,0.00254495,0,0,593,22.2428,0,1212,0,0,0,0,52,11095,0,7355,0,1.55591,0,0,0,2047.26,0,2462.65,0,0,0,0,0,0,0.874217,0.0086501,0,35,0,0,652,8600,2.49236,0,0,52,0.891896,0.128925,0
false,TWO_PC,0.5,0.02,0,28,WAIT_DIE,0,7609,0.0162964,187.98,0.00324801,0.00459322,0,0,2709.88,0,0.00574031,0,0,7609,0,7566.04,0.0120403,0.358119,0,0,0,0,1035.24,350.024,0.0957637,0.00532176,45.4661,0,0,0,0,1.47335,0,0.00980238,0.0047963,0,0,0,0,0,0,0,0,0,0,0,28.159,66.6102,0.0728694,0,0,0.0060142,0.0484269,0,0,0.0666765,0.729311,0.00248326,0,0,952,23.0263,0,2035,0,0,0,1,0,11826,0,5559,0,0.706989,0,0,0,1865.09,0,2554.14,0,0,0.244805,1,0,0,0.820511,0.00931819,0,0,0,0,1098,7609,0,0,0,0,0.822988,0.123711,0
false,TWO_PC,0.5,0.04,0,28,WAIT_DIE,0,6489,0.0182909,402.511,0.00355383,0.00783226,0,0,2529.83,12,0.0054905,0,0,6489,0,6448.88,0.0176616,0.350971,12,0,0,0,1818.19,615.104,0.123189,0.00480488,189.28,0.00502406,0,0,0,1.30229,0,0.0145457,0.0068572,0,0,0,0,0,0,0,0,0,0,0,28.1742,205.049,0.109118,0,0,0.00618169,0.0936657,0,6,0.0612514,0.741343,0.00237505,0,0,1336,22.2411,0,3197,0,0,0,0,15,13333,0,3341,0,1.58186,0,0,0,1342.18,0,2147.95,0,0,0,0,0,0,0.826326,0.0139218,0,9,0,0,1812,6489,6.17283,0,0,12,0.773503,0.21817,0
